Volt;Corrente;Ora;Data;Coordinate
5.05;24.86;12:16:11;29/8/22;45.6043536,13.7328641
5.06;24.54;12:18:10;29/8/22;45.6043536,13.7328641
5.09;24.41;12:20:11;29/8/22;45.6043536,13.7328641
5.06;20.99;12:22:3;29/8/22;45.6043536,13.7328641
5.07;24.84;12:24:4;29/8/22;45.6043536,13.7328641
5.04;26.24;12:25:59;29/8/22;45.6043536,13.7328641
5.05;24.80;12:27:55;29/8/22;45.6043536,13.7328641
5.02;22.67;12:29:55;29/8/22;45.6043536,13.7328641
5.07;24.34;12:31:51;29/8/22;45.6043536,13.7328641
5.05;21.61;12:33:49;29/8/22;45.6043536,13.7328641
5.03;20.47;12:35:50;29/8/22;45.6043536,13.7328641
5.04;20.65;12:37:41;29/8/22;45.6043536,13.7328641
5.05;20.30;12:39:32;29/8/22;45.6043536,13.7328641
5.04;23.50;12:41:26;29/8/22;45.6043536,13.7328641
5.04;20.14;12:43:18;29/8/22;45.6043536,13.7328641
5.07;20.99;12:45:17;29/8/22;45.6043536,13.7328641
5.00;24.29;12:47:14;29/8/22;45.6043536,13.7328641
5.08;20.48;12:49:8;29/8/22;45.6043536,13.7328641
5.03;26.47;12:51:6;29/8/22;45.6043536,13.7328641
5.04;25.98;12:53:5;29/8/22;45.6043536,13.7328641
5.06;22.79;12:55:3;29/8/22;45.6043536,13.7328641
5.06;24.44;12:57:2;29/8/22;45.6043536,13.7328641
5.03;21.84;12:58:58;29/8/22;45.6043536,13.7328641
5.04;22.64;13:0:58;29/8/22;45.6043536,13.7328641
5.09;21.44;13:2:57;29/8/22;45.6043536,13.7328641
5.01;21.73;13:4:58;29/8/22;45.6043536,13.7328641
5.04;26.27;13:6:57;29/8/22;45.6043536,13.7328641
5.02;26.38;13:8:54;29/8/22;45.6043536,13.7328641
5.09;20.36;13:10:52;29/8/22;45.6043536,13.7328641
5.05;22.47;13:12:47;29/8/22;45.6043536,13.7328641
5.03;25.56;13:14:41;29/8/22;45.6043536,13.7328641
5.05;20.78;13:16:42;29/8/22;45.6043536,13.7328641
5.00;22.20;13:18:42;29/8/22;45.6043536,13.7328641
5.06;25.61;13:20:37;29/8/22;45.6043536,13.7328641
5.03;23.46;13:22:32;29/8/22;45.6043536,13.7328641
5.09;26.84;13:24:25;29/8/22;45.6043536,13.7328641
5.03;22.46;13:26:16;29/8/22;45.6043536,13.7328641
5.08;21.55;13:28:10;29/8/22;45.6043536,13.7328641
5.02;20.21;13:30:3;29/8/22;45.6043536,13.7328641
