Volt;Corrente;Ora;Data;Coordinate
5.07;24.12;12:53:9;30/8/22;45.6043538,13.7328639
5.01;20.91;12:55:3;30/8/22;45.6043538,13.7328639
5.06;25.25;12:56:55;30/8/22;45.6043538,13.7328639
5.02;24.49;12:58:46;30/8/22;45.6043538,13.7328639
5.09;26.84;13:0:38;30/8/22;45.6043538,13.7328639
5.07;24.22;13:2:34;30/8/22;45.6043538,13.7328639
5.03;20.90;13:4:28;30/8/22;45.6043538,13.7328639
5.02;21.10;13:6:27;30/8/22;45.6043538,13.7328639
5.09;24.65;13:8:26;30/8/22;45.6043538,13.7328639
5.09;24.99;13:10:27;30/8/22;45.6043538,13.7328639
5.03;23.25;13:12:27;30/8/22;45.6043538,13.7328639
5.05;23.96;13:14:24;30/8/22;45.6043538,13.7328639
5.01;23.19;13:16:15;30/8/22;45.6043538,13.7328639
5.01;20.76;13:18:9;30/8/22;45.6043538,13.7328639
5.00;24.90;13:20:10;30/8/22;45.6043538,13.7328639
5.02;21.36;13:22:1;30/8/22;45.6043538,13.7328639
5.02;20.98;13:23:55;30/8/22;45.6043538,13.7328639
5.05;22.67;13:25:52;30/8/22;45.6043538,13.7328639
5.05;22.44;13:27:52;30/8/22;45.6043538,13.7328639
5.07;21.86;13:29:53;30/8/22;45.6043538,13.7328639
5.08;26.28;13:31:48;30/8/22;45.6043538,13.7328639
5.04;21.88;13:33:39;30/8/22;45.6043538,13.7328639
5.02;26.65;13:35:30;30/8/22;45.6043538,13.7328639
5.00;25.77;13:37:24;30/8/22;45.6043538,13.7328639
5.02;24.60;13:39:18;30/8/22;45.6043538,13.7328639
5.01;26.40;13:41:14;30/8/22;45.6043538,13.7328639
5.03;21.80;13:43:13;30/8/22;45.6043538,13.7328639
5.05;22.86;13:45:14;30/8/22;45.6043538,13.7328639
5.06;21.42;13:47:15;30/8/22;45.6043538,13.7328639
5.08;25.67;13:49:9;30/8/22;45.6043538,13.7328639
5.09;20.82;13:51:8;30/8/22;45.6043538,13.7328639
5.03;22.19;13:53:5;30/8/22;45.6043538,13.7328639
5.06;26.79;13:55:1;30/8/22;45.6043538,13.7328639
5.07;22.15;13:56:55;30/8/22;45.6043538,13.7328639
5.03;21.72;13:58:54;30/8/22;45.6043538,13.7328639
5.04;23.85;14:0:46;30/8/22;45.6043538,13.7328639
5.02;20.58;14:2:40;30/8/22;45.6043538,13.7328639
5.06;21.68;14:4:39;30/8/22;45.6043538,13.7328639
5.01;26.85;14:6:37;30/8/22;45.6043538,13.7328639
5.01;23.23;14:8:36;30/8/22;45.6043538,13.7328639
4.64;19.42;14:10:37;30/8/22;45.6043538,13.7328639
4.13;11.29;14:12:34;30/8/22;45.6043538,13.7328639
4.34;12.63;14:14:25;30/8/22;45.6043538,13.7328639
4.22;11.73;14:16:18;30/8/22;45.6043538,13.7328639
3.46;10.95;14:18:18;30/8/22;45.6043538,13.7328639
3.43;10.54;14:20:16;30/8/22;45.6043538,13.7328639
3.72;11.24;14:22:13;30/8/22;45.6043538,13.7328639
4.11;13.30;14:24:13;30/8/22;45.6043538,13.7328639
3.31;15.90;14:26:7;30/8/22;45.6043538,13.7328639
3.60;16.42;14:28:8;30/8/22;45.6043538,13.7328639
4.15;19.53;14:30:9;30/8/22;45.6043538,13.7328639
4.11;20.85;14:32:10;30/8/22;45.6043538,13.7328639
4.44;18.24;14:34:9;30/8/22;45.6043538,13.7328639
4.23;16.24;14:36:0;30/8/22;45.6043538,13.7328639
4.22;21.19;14:37:58;30/8/22;45.6043538,13.7328639
4.54;19.46;14:39:53;30/8/22;45.6043538,13.7328639
4.86;16.27;14:41:49;30/8/22;45.6043538,13.7328639
4.94;18.67;14:43:40;30/8/22;45.6043538,13.7328639
4.94;20.55;14:45:35;30/8/22;45.6043538,13.7328639
4.91;16.79;14:47:30;30/8/22;45.6043538,13.7328639
4.98;19.92;14:49:22;30/8/22;45.6043538,13.7328639
4.95;21.41;14:51:21;30/8/22;45.6043538,13.7328639
4.92;20.11;14:53:20;30/8/22;45.6043538,13.7328639
4.95;17.44;14:55:12;30/8/22;45.6043538,13.7328639
4.95;17.42;14:57:4;30/8/22;45.6043538,13.7328639
4.97;17.52;14:59:5;30/8/22;45.6043538,13.7328639
4.90;19.15;15:0:57;30/8/22;45.6043538,13.7328639
4.92;20.64;15:2:55;30/8/22;45.6043538,13.7328639
4.90;20.47;15:4:56;30/8/22;45.6043538,13.7328639
4.95;17.87;15:6:49;30/8/22;45.6043538,13.7328639
4.98;19.18;15:8:48;30/8/22;45.6043538,13.7328639
4.91;21.72;15:10:46;30/8/22;45.6043538,13.7328639
4.94;16.49;15:12:39;30/8/22;45.6043538,13.7328639
4.96;18.64;15:14:33;30/8/22;45.6043538,13.7328639
4.90;17.52;15:16:27;30/8/22;45.6043538,13.7328639
4.99;20.34;15:18:28;30/8/22;45.6043538,13.7328639
4.94;16.66;15:20:20;30/8/22;45.6043538,13.7328639
4.90;18.22;15:22:18;30/8/22;45.6043538,13.7328639
4.91;21.90;15:24:9;30/8/22;45.6043538,13.7328639
4.91;20.98;15:26:6;30/8/22;45.6043538,13.7328639
4.97;21.45;15:28:3;30/8/22;45.6043538,13.7328639
4.98;19.46;15:29:57;30/8/22;45.6043538,13.7328639
4.96;17.44;15:31:57;30/8/22;45.6043538,13.7328639
4.98;16.94;15:33:49;30/8/22;45.6043538,13.7328639
4.94;17.47;15:35:41;30/8/22;45.6043538,13.7328639
4.94;18.20;15:37:33;30/8/22;45.6043538,13.7328639
4.99;20.60;15:39:32;30/8/22;45.6043538,13.7328639
4.98;17.17;15:41:23;30/8/22;45.6043538,13.7328639
4.96;19.76;15:43:15;30/8/22;45.6043538,13.7328639
4.91;16.81;15:45:15;30/8/22;45.6043538,13.7328639
4.97;19.96;15:47:11;30/8/22;45.6043538,13.7328639
4.90;16.12;15:49:8;30/8/22;45.6043538,13.7328639
4.98;21.97;15:51:0;30/8/22;45.6043538,13.7328639
4.95;20.97;15:52:51;30/8/22;45.6043538,13.7328639
4.95;16.53;15:54:43;30/8/22;45.6043538,13.7328639
4.92;20.37;15:56:44;30/8/22;45.6043538,13.7328639
4.91;19.10;15:58:36;30/8/22;45.6043538,13.7328639
4.97;18.37;16:0:36;30/8/22;45.6043538,13.7328639
4.90;21.16;16:2:35;30/8/22;45.6043538,13.7328639
4.92;19.49;16:4:35;30/8/22;45.6043538,13.7328639
4.96;18.58;16:6:28;30/8/22;45.6043538,13.7328639
4.98;16.90;16:8:21;30/8/22;45.6043538,13.7328639
4.98;16.73;16:10:19;30/8/22;45.6043538,13.7328639
4.91;20.38;16:12:10;30/8/22;45.6043538,13.7328639
4.96;18.10;16:14:6;30/8/22;45.6043538,13.7328639
4.94;19.55;16:16:1;30/8/22;45.6043538,13.7328639
4.96;21.74;16:17:55;30/8/22;45.6043538,13.7328639
4.95;20.66;16:19:48;30/8/22;45.6043538,13.7328639
4.96;18.47;16:21:42;30/8/22;45.6043538,13.7328639
4.99;19.12;16:23:38;30/8/22;45.6043538,13.7328639
4.91;16.73;16:25:35;30/8/22;45.6043538,13.7328639
4.95;20.31;16:27:29;30/8/22;45.6043538,13.7328639
4.95;17.42;16:29:27;30/8/22;45.6043538,13.7328639
4.94;18.43;16:31:25;30/8/22;45.6043538,13.7328639
4.91;18.46;16:33:22;30/8/22;45.6043538,13.7328639
4.97;16.36;16:35:14;30/8/22;45.6043538,13.7328639
4.95;16.78;16:37:12;30/8/22;45.6043538,13.7328639
4.93;21.87;16:39:13;30/8/22;45.6043538,13.7328639
4.99;20.77;16:41:6;30/8/22;45.6043538,13.7328639
4.93;19.51;16:42:57;30/8/22;45.6043538,13.7328639
4.93;24.26;16:44:53;30/8/22;45.6043538,13.7328639
4.91;25.47;16:46:50;30/8/22;45.6043538,13.7328639
4.92;22.65;16:48:45;30/8/22;45.6043538,13.7328639
4.84;20.18;16:50:43;30/8/22;45.6043538,13.7328639
4.62;22.59;16:52:43;30/8/22;45.6043538,13.7328639
4.93;21.98;16:54:34;30/8/22;45.6043538,13.7328639
4.97;17.94;16:56:31;30/8/22;45.6043538,13.7328639
4.98;20.37;16:58:32;30/8/22;45.6043538,13.7328639
4.96;21.99;17:0:33;30/8/22;45.6043538,13.7328639
4.99;20.86;17:2:32;30/8/22;45.6043538,13.7328639
4.93;19.23;17:4:23;30/8/22;45.6043538,13.7328639
4.95;19.22;17:6:16;30/8/22;45.6043538,13.7328639
4.90;16.11;17:8:7;30/8/22;45.6043538,13.7328639
4.99;18.54;17:9:59;30/8/22;45.6043538,13.7328639
4.60;21.58;17:11:55;30/8/22;45.6043538,13.7328639
4.70;21.14;17:13:50;30/8/22;45.6043538,13.7328639
3.94;16.82;17:15:44;30/8/22;45.6043538,13.7328639
3.88;12.96;17:17:37;30/8/22;45.6043538,13.7328639
3.96;14.59;17:19:36;30/8/22;45.6043538,13.7328639
4.61;18.97;17:21:37;30/8/22;45.6043538,13.7328639
4.52;17.15;17:23:36;30/8/22;45.6043538,13.7328639
4.92;17.54;17:25:36;30/8/22;45.6043538,13.7328639
4.94;20.71;17:27:32;30/8/22;45.6043538,13.7328639
4.97;20.52;17:29:32;30/8/22;45.6043538,13.7328639
4.99;17.93;17:31:30;30/8/22;45.6043538,13.7328639
4.97;20.71;17:33:27;30/8/22;45.6043538,13.7328639
4.92;17.10;17:35:25;30/8/22;45.6043538,13.7328639
4.99;19.84;17:37:20;30/8/22;45.6043538,13.7328639
4.96;19.72;17:39:13;30/8/22;45.6043538,13.7328639
4.93;21.46;17:41:10;30/8/22;45.6043538,13.7328639
4.95;20.17;17:43:3;30/8/22;45.6043538,13.7328639
4.96;19.26;17:44:57;30/8/22;45.6043538,13.7328639
4.97;21.24;17:46:53;30/8/22;45.6043538,13.7328639
4.91;17.89;17:48:52;30/8/22;45.6043538,13.7328639
4.91;19.84;17:50:48;30/8/22;45.6043538,13.7328639
4.93;19.42;17:52:41;30/8/22;45.6043538,13.7328639
4.98;18.98;17:54:34;30/8/22;45.6043538,13.7328639
4.98;17.12;17:56:32;30/8/22;45.6043538,13.7328639
4.95;21.79;17:58:25;30/8/22;45.6043538,13.7328639
4.94;20.33;18:0:23;30/8/22;45.6043538,13.7328639
4.90;21.68;18:2:24;30/8/22;45.6043538,13.7328639
4.99;19.80;18:4:17;30/8/22;45.6043538,13.7328639
4.91;19.98;18:6:13;30/8/22;45.6043538,13.7328639
4.90;18.69;18:8:12;30/8/22;45.6043538,13.7328639
4.94;19.38;18:10:10;30/8/22;45.6043538,13.7328639
4.95;18.98;18:12:8;30/8/22;45.6043538,13.7328639
4.91;18.63;18:14:4;30/8/22;45.6043538,13.7328639
4.95;18.20;18:15:58;30/8/22;45.6043538,13.7328639
4.94;18.30;18:17:51;30/8/22;45.6043538,13.7328639
4.90;18.60;18:19:52;30/8/22;45.6043538,13.7328639
4.99;19.58;18:21:43;30/8/22;45.6043538,13.7328639
4.97;21.59;18:23:35;30/8/22;45.6043538,13.7328639
4.95;17.94;18:25:27;30/8/22;45.6043538,13.7328639
4.95;16.95;18:27:23;30/8/22;45.6043538,13.7328639
4.98;16.54;18:29:14;30/8/22;45.6043538,13.7328639
4.90;19.51;18:31:13;30/8/22;45.6043538,13.7328639
4.95;19.66;18:33:6;30/8/22;45.6043538,13.7328639
4.96;21.93;18:34:59;30/8/22;45.6043538,13.7328639
4.90;20.55;18:36:52;30/8/22;45.6043538,13.7328639
4.94;20.58;18:38:49;30/8/22;45.6043538,13.7328639
4.88;17.27;18:40:49;30/8/22;45.6043538,13.7328639
4.32;20.78;18:42:45;30/8/22;45.6043538,13.7328639
4.64;19.62;18:44:41;30/8/22;45.6043538,13.7328639
3.89;16.66;18:46:39;30/8/22;45.6043538,13.7328639
4.43;21.53;18:48:36;30/8/22;45.6043538,13.7328639
4.26;18.17;18:50:37;30/8/22;45.6043538,13.7328639
4.13;17.80;18:52:31;30/8/22;45.6043538,13.7328639
4.44;16.66;18:54:26;30/8/22;45.6043538,13.7328639
